"yC3ZMb href","Vpc5Fe","GSM50","KgoSse href","y3Ibjb","OA1nbd","gERoBf href","gd5Tqf","uo5PT","XVR0jd","PhaUTe","GSM50 2","KmCjbd","QVQhvb","enjdgf","qGGAec","KmCjbd 2","qGGAec 2","UEEEAc","RJCWf","qGGAec 3","OA1nbd 2","qGGAec 4","UEEEAc 2","RJCWf 2"
"https://www.google.com/maps/contrib/108078993928713550166/reviews?hl=en-GB","Aruna Murugan","Local Guide40 reviews9 photos","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnSURLaHNQUVJBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnSURLaHNQUVJBEi4KF0NJSE0wb2dLRUlDQWdJREtoc1BReEFFEhNDZ3dJNS1MZmhBWVFpS2pNb3dNGi0KFkNJSE0wb2dLRUlDQWdJREtoc1BRSkESE0Nnd0k1LUxmaEFZUWlLak1vd00iEgkAAAAAAAAAABHXeA_OYb62XCoSQ2dzSTZPTGZoQVlRcU1LeGV3&wv=1&d=286732336&gsas=1","4 years ago","Scaling and polishing costed RM100 which was alot reasonable. Very friendly staffs and expertised doctor. Clear,  knowledgeable explanations and suggestions by Dr. Kartick. Thank you!","[object Object]","_","2","🙏","Klinik Pergigian Alam Megah (owner)","3 years ago","Terima kasih :)","","·","See translation (English)","Thank You :)","See original (Indonesian)","Translated by Google","·","","","","",""
"https://www.google.com/maps/contrib/117665050401647169702/reviews?hl=en-GB","HRZ TRV","4 reviews1 photo","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTUNRa1AyLTFRRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTUNRa1AyLTFRRRItChZDSUhNMG9nS0VJQ0FnTUNRa1AyLU5REhNDZ3dJek42S3ZnWVFvTGZXcmdJGi4KF0NJSE0wb2dLRUlDQWdNQ1FrUDItdFFFEhNDZ3dJek42S3ZnWVFvTGZXcmdJIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0l6TjZLdmdZUW9MZldyZ0k&wv=1&d=286732336&gsas=1","7 months ago","Dr. Nik and his team are welcoming and professional, offering great service at a reasonable price. Highly recommended!👍","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you for your kind words. We look forward to serve you better😁","Hover to react","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/114613847750064089952/reviews?hl=en-GB","bobramjit singh","Local Guide27 reviews25 photos","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTURvb3BXQ2xnRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTURvb3BXQ2xnRRItChZDSUhNMG9nS0VJQ0FnTURvb3BXQ1ZnEhNDZ3dJelp5aXdBWVEyT1BzemdJGi4KF0NJSE0wb2dLRUlDQWdNRG9vcFdDMWdFEhNDZ3dJelp5aXdBWVEyT1BzemdJIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0l6Wnlpd0FZUTJPUHN6Z0k&wv=1&d=286732336&gsas=1","5 months ago","I really like this clinic..the doctor really experience 🙂🙂🙂.. 🙏 so much 😄😄😄","[object Object]","_","1","❤️","","","","","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/101861342036514725881/reviews?hl=en-GB","seri nilam","2 reviews1 photo","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTUNBeGNTc1pnEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTUNBeGNTc1pnEi4KF0NJSE0wb2dLRUlDQWdNQ0F4Y1RhMFFFEhNDZ3dJZ1BiOXZBWVE0SmVWM0FJGi0KFkNJSE0wb2dLRUlDQWdNQ0F4Y1RhTVESE0Nnd0lnUGI5dkFZUTRKZVYzQUkiEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3SWdQYjl2QVlRNEplVjNBSQ&wv=1&d=286732336&gsas=1","8 months ago","Good services.. details explanation by experience’s dentist and friendly clinic assistant🥰..highly recommended ✨✨✨✨many many stars for this clinic","[object Object]","_","1","🙏","Klinik Pergigian Alam Megah (owner)","8 months ago","Thank you so much for your kind words. Please come again 😄","","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/101552885830113670067/reviews?hl=en-GB","n.u","1 review","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTURna2NhbDBBRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTURna2NhbDBBRRItChZDSUhNMG9nS0VJQ0FnTURna2NhbE1BEhNDZ3dJdjhIMnZRWVE0SXFkdndJGi4KF0NJSE0wb2dLRUlDQWdNRGdrY2Fsc0FFEhNDZ3dJdjhIMnZRWVE0SXFkdndJIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0kwNFA3dlFZUXNQbU5uZ0k&wv=1&d=286732336&gsas=1","7 months ago","Service sangat bagus, nurse and the doctor are veryyy friendly , currently doing braces. 🥰🥰","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you!!","Hover to react","","","","","","","","","","",""
"https://www.google.com/maps/contrib/108351075694047062147/reviews?hl=en-GB","SNR Adam","2 reviews","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTURRak0tNDRnRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTURRak0tNDRnRRItChZDSUhNMG9nS0VJQ0FnTURRak0tNEVnEhNDZ3dJOS11MXZnWVFnTGlIcGdNGi4KF0NJSE0wb2dLRUlDQWdNRFFqTS00a2dFEhNDZ3dJOS11MXZnWVFnTGlIcGdNIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0k5LXUxdmdZUWdMaUhwZ00&wv=1&d=286732336&gsas=1","7 months ago","So far so good. Really welcoming. Nice decorations. Good doctors👍","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you Adam for your feedback 🙏!! We truly appreciate it 😃.","Hover to react","","","","","","","","","","",""
"https://www.google.com/maps/contrib/108066384825227863671/reviews?hl=en-GB","DIANA HASIBUAN","Local Guide8 reviews21 photos","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTUNRMFktWm5RRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTUNRMFktWm5RRRItChZDSUhNMG9nS0VJQ0FnTUNRMFktWlhREhNDZ3dJNDdhZnZnWVFzTTNZLVFJGi4KF0NJSE0wb2dLRUlDQWdNQ1EwWS1aM1FFEhNDZ3dJNDdhZnZnWVFzTTNZLVFJIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0lncFdodmdZUW9KU0RsZ0k&wv=1&d=286732336&gsas=1","7 months ago","Our family’s fav dental clinic, professional doctors, friendly staff, good service👍🏻👍🏻👍🏻👍🏻","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you Diana for your feedback😀. It has been our pleasure to have you and your family to come over for dental treatment. We will continue to improve and serve you better😀.","Hover to react","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/103198455387022914417/reviews?hl=en-GB","Nurul Shazlinda","1 review","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTUNRaVlxcWt3RRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTUNRaVlxcWt3RRIsChZDSUhNMG9nS0VJQ0FnTUNRaVlxcVV3EhJDZ3NJakt5Z3ZnWVF3TXZHQXcaLQoXQ0lITTBvZ0tFSUNBZ01DUWlZcXEwd0USEkNnc0lqS3lndmdZUXdNdkdBdyISCQAAAAAAAAAAEdd4D85hvrZcKhJDZ3NJakt5Z3ZnWVF3TXZHQXc&wv=1&d=286732336&gsas=1","7 months ago","The service is very good & efficient as usual, I highly recommend this clinic !😊","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you Shazlinda for your feedback🙏. We will continue to improve our services","Hover to react","","","","","","","","","","",""
"https://www.google.com/maps/contrib/116967161274433813448/reviews?hl=en-GB","nurul aidayana","7 reviews3 photos","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTUNvN3ZyNmRREAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTUNvN3ZyNmRREi4KF0NJSE0wb2dLRUlDQWdNQ283dnI2OVFFEhNDZ3dJbmFPQ3dBWVEwTHpSMXdJGi0KFkNJSE0wb2dLRUlDQWdNQ283dnI2RFESE0Nnd0luYU9Dd0FZUTBMelIxd0kiEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3SW5hT0N3QVlRMEx6UjF3SQ&wv=1&d=286732336&gsas=1","6 months ago","Staff dan dr very friendly and good service","[object Object]","_","","","","","","Hover to react","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/113832855691511463807/reviews?hl=en-GB","Shu Yi Yeap","3 reviews","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnSUROOTVyUzlRRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnSUROOTVyUzlRRRItChZDSUhNMG9nS0VJQ0FnSUROOTVyU0RREhNDZ3dJX1pfU3JRWVFvUFBDcmdJGi4KF0NJSE0wb2dLRUlDQWdJRE45NXJTalFFEhNDZ3dJX1pfU3JRWVFvUFBDcmdJIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0lfWl9TclFZUW9QUENyZ0k&wv=1&d=286732336&gsas=1","a year ago","Dr Gan services was very good, friendly with professionalism. Nurses are friendly and price is affordable. I will definitely come back for check up annually","[object Object]","_","1","🙏","Klinik Pergigian Alam Megah (owner)","a year ago","Thank you for your kind words :) We are glad you enjoyed the Alam Megah Dental Experience. See you soon","","","","","","","","","","","",""
"https://www.google.com/maps/contrib/113019834990842721446/reviews?hl=en-GB","aisyah amzam","Local Guide14 reviews7 photos","https://www.google.com/local/review/rap/report?postId=ChRDSUhNMG9nS0VJQ0FnSUROMTc4YhAB&t=1&entityid=ChRDSUhNMG9nS0VJQ0FnSUROMTc4YhItChdDSUhNMG9nS0VJQ0FnSUROMTctYmdBRRISQ2dzSTVkSFJyUVlReU9lLWRnGiwKFkNJSE0wb2dLRUlDQWdJRE4xNy1iUUESEkNnc0k1ZEhSclFZUXlPZS1kZyISCQAAAAAAAAAAEdd4D85hvrZcKhJDZ3NJNWRIUnJRWVF5T2UtZGc&wv=1&d=286732336&gsas=1","a year ago","Such a convenient clinic. Currently doing braces with Dr Gan. The doctor gives good explanation. Great service, friendly staffs. Reasonable price 👍🏻","[object Object]","_","2","","Klinik Pergigian Alam Megah (owner)","a year ago","Thank you for your kind feedback Aisyah :) We are glad you've enjoyed the Alam Megah Dental Experience!","","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/107292386583903552368/reviews?hl=en-GB","Syafinazliana","4 reviews","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTURRb0pEakpBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTURRb0pEakpBEi4KF0NJSE0wb2dLRUlDQWdNRFFvSkRqcEFFEhNDZ3dJOUtxd3ZnWVF1S0xibFFFGi0KFkNJSE0wb2dLRUlDQWdNRFFvSkRqWkESE0Nnd0k5S3F3dmdZUXVLTGJsUUUiEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3STlLcXd2Z1lRdUtMYmxRRQ&wv=1&d=286732336&gsas=1","7 months ago","Service bagus ! Staff and doc friendly !! Kiter lurveee 🫶🏻🫶🏻🫶🏻","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Terima kasih Syafinazlina atas review anda🙏😀!! Kiter pun lurvee🫶🫶🫶","Hover to react","","See translation (English)","Thank you Syafinazlina for your review 🙏😀!! Kiter is also lurvee🫶🫶🫶","See original (Malay)","Translated by Google","·","","","","",""
"https://www.google.com/maps/contrib/106831431523061162603/reviews?hl=en-GB","Siti Nurhafizsah","2 reviews","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTURBc0tHUXlBRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTURBc0tHUXlBRRIsChZDSUhNMG9nS0VJQ0FnTURBc0tHUUtBEhJDZ3NJaTVxU3ZRWVE0SUx2Y0EaLQoXQ0lITTBvZ0tFSUNBZ01EQXNLR1FxQUUSEkNnc0lpNXFTdlFZUTRJTHZjQSISCQAAAAAAAAAAEdd4D85hvrZcKhJDZ3NJaTVxU3ZRWVE0SUx2Y0E&wv=1&d=286732336&gsas=1","8 months ago","Good services 👍🏻 very helpful & friendly doctor 👍🏻 good enviroment also. Very  recommended 👍🏻👍🏻👍🏻","[object Object]","_","1","🙏","Klinik Pergigian Alam Megah (owner)","8 months ago","Thank you Nurhafizsah , we would love to see you again😁","","","","","","","","","","","",""
"https://www.google.com/maps/contrib/104928138926642875093/reviews?hl=en-GB","jr bappi","1 review","https://www.google.com/local/review/rap/report?postId=Ci9DQUlRQUNvZENodHljRjlvT2s1dFRqRTRSVVZZY1dndGNWRnZjVjl1WkhjNGFIYxAB&t=1&entityid=Ci9DQUlRQUNvZENodHljRjlvT2s1dFRqRTRSVVZZY1dndGNWRnZjVjl1WkhjNGFIYxJbCkxDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnMxZEZScVJUUlNWVlpaWTFkbmRHTldSblpqVmpsMVdraGpOR0ZJWXdvR2NtVjJhV1YzEgswY3ZVNDhSS3BHdBpbCkxDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnMxZEZScVJUUlNWVlpaWTFkbmRHTldSblpqVmpsMVdraGpOR0ZJWXdvR2NtRjBhVzVuEgswY3ZVNDhSS3BHdCISCQAAAAAAAAAAEdd4D85hvrZcKgswY3ZVNDhSS3BHdA&wv=1&d=286732336&gsas=1","4 days ago","The doctor and staff are friendly,","[object Object]","_","","","","","","Hover to react","","","","","","","","","","",""
